"	Bayesian SkyGrid: BEASTTEST_lowmean_est17.log.txt			"
"time	date	datetime	milliseconds	mean	median	upper	lower"
"2023.0	2022-12-30	2022-12-30T22:00:00	1672437600621	1450.2595504797212	1432.2661968868833	2595.1360260131796	820.5035365909894"
"1981.7142857142858	1981-09-17	1981-09-17T15:08:34	369587314907	1590.448368177843	1527.3564430778167	3208.7549080793324	834.7599782979635"
"1940.4285714285716	1940-06-04	1940-06-04T08:17:10	-933349370807	1593.6275766780802	1505.4067377102317	3689.3439629242075	755.2952881271564"
"1899.1428571428573	1899-02-21	1899-02-21T02:25:44	-2236109656520	1440.540292542893	1385.5983922073708	3382.116027035728	599.7832154413344"
"1857.8571428571431	1857-11-08	1857-11-08T19:34:18	-3538959942235	1221.2496284564281	1216.763449870121	3179.203523353305	505.4871514553783"
"1816.571428571429	1816-07-26	1816-07-26T12:42:53	-4841896627949	1076.246460994228	1106.7620082108785	2463.4529139547567	370.6663223191434"
"1775.2857142857147	1775-04-14	1775-04-14T05:51:27	-6144660513663	979.2715558868529	1021.963184992919	2445.481710102721	346.33653161429186"
"1734.0000000000005	1733-12-30	1733-12-30T23:00:01	-7447510799377	922.3305871492355	965.5362209023267	2297.7748547678793	330.8512221745927"
"1692.7142857142862	1692-09-16	1692-09-16T16:08:35	-8750361085092	897.9854860241857	934.5718014123204	2274.6802110688946	292.02003072141196"
"1651.428571428572	1651-06-05	1651-06-05T09:17:10	-10053211370806	871.4006981061614	906.2542738994522	2354.5276888606018	259.3961496691661"
"1610.1428571428578	1610-02-21	1610-02-21T02:25:44	-11356061656520	843.1061749819728	881.7999660113263	2424.4383501325237	230.05756981516575"
"1568.8571428571436	1568-11-17	1568-11-17T19:34:18	-12658134342235	815.9130948985614	856.6663578228844	2429.6591551509196	210.95194284810313"
"1527.5714285714294	1527-08-06	1527-08-06T12:42:53	-13960984627949	800.4847735685497	841.8138128127337	2537.699922614716	195.42402819206947"
"1486.2857142857151	1486-04-23	1486-04-23T05:51:27	-15263834913663	784.6283111762328	834.6270780338131	2485.704904538365	174.14377499135156"
"1445.000000000001	1445-01-08	1445-01-08T23:00:01	-16566685199377	781.9241751722466	824.8052850484012	2558.6816495095	166.7376035415507"
"1403.7142857142867	1403-09-26	1403-09-26T16:08:35	-17869621885092	778.975993366036	812.2226816058649	2609.887350533195	152.14495677784757"
"1362.4285714285725	1362-06-13	1362-06-13T09:17:10	-19172472170806	785.9954107442269	817.6795315962014	2985.7941385591835	149.2476026468972"
"1321.1428571428582	1321-03-01	1321-03-01T02:25:44	-20475322456520	790.6134663109718	820.6143126512693	3529.7027508041347	155.11008722013577"
"1279.857142857144	1279-11-15	1279-11-15T19:34:18	-21778259142235	787.7289385671247	815.4788158440497	3276.5866368759694	127.33320407984209"
"1238.5714285714298	1238-08-03	1238-08-03T12:42:53	-23081109427949	781.3178485724786	810.7588911981481	3440.4651664070766	111.22106625729313"
"1197.2857142857156	1197-04-21	1197-04-21T05:51:27	-24383959713663	766.7169319274549	807.4453019682519	3681.9286485542007	106.88148704004203"
"1156.0000000000014	1156-01-06	1156-01-06T23:00:01	-25686896399377	752.9459704008505	793.9025978273863	3925.3915934755614	90.47243222566766"
"1114.7142857142871	1114-09-24	1114-09-24T16:08:35	-26989746685092	727.8936539466922	787.5147135411535	4565.067755072787	86.94648934119999"
"1073.428571428573	1073-06-11	1073-06-11T09:17:10	-28292596970806	702.1283150981814	787.9197466680024	4248.308445452719	74.10545539702132"
"1032.1428571428587	1032-02-27	1032-02-27T02:25:44	-29595533656520	672.3652761889985	758.9167336219751	4961.92874900352	67.79858997932197"
"990.8571428571444	0990-11-13	0990-11-13T19:34:18	-30898383942235	649.8083353635351	751.4842117489106	4221.004567523876	52.56963163217066"
"949.57142857143	0949-08-01	0949-08-01T12:42:53	-32201234227949	626.5174850899389	731.1134442231867	4632.963729702971	53.10888580558761"
"908.2857142857157	0908-04-18	0908-04-18T05:51:27	-33504170913663	602.563947265692	717.098356177657	4322.63990891647	40.73178739888297"
"867.0000000000014	0867-01-03	0867-01-03T23:00:01	-34807021199377	580.3150574207549	698.9402842765694	4553.187467751621	36.13168043125623"
"825.714285714287	0825-09-21	0825-09-21T16:08:35	-36109871485092	564.7449343187759	694.220429056721	5285.450071794833	37.33839525964566"
"784.4285714285727	0784-06-08	0784-06-08T09:17:10	-37412808170806	546.9749889955331	690.6845160321288	5145.980530433416	27.17459420814619"
"743.1428571428584	0743-02-25	0743-02-25T02:25:44	-38715658456520	532.8798189028759	682.28165172026	5238.471098623383	25.554580378929252"
"701.857142857144	0701-11-12	0701-11-12T19:34:18	-40018508742235	526.1362659737356	678.094081642661	5979.042559207297	25.42736038386395"
"660.5714285714297	0660-07-29	0660-07-29T12:42:53	-41321445427949	517.0981109987443	676.9551498356783	6572.875765813055	22.40031977271794"
"619.2857142857154	0619-04-17	0619-04-17T05:51:27	-42624295713663	511.16613437630906	670.2551408003116	6331.477475026697	16.492085164526426"
"578.000000000001	0578-01-01	0578-01-01T23:00:01	-43927145999377	508.44301903696936	668.3417962154125	7121.072710413058	13.984279281874239"
"536.7142857142867	0536-09-18	0536-09-18T16:08:35	-45230082685092	507.25751212211486	669.567769931174	7184.686330793361	11.330873039814232"
"495.4285714285724	0495-06-06	0495-06-06T09:17:10	-46532932970806	506.21490544636504	673.0630514291461	8587.38192505438	11.271201043407661"
"454.14285714285813	0454-02-22	0454-02-22T02:25:44	-47835783256520	503.65190215253216	681.3995072919395	10348.706371156186	12.944263391384734"
"412.85714285714386	0412-11-08	0412-11-08T19:34:18	-49138719942235	501.33370228110306	678.478028300154	12370.5858841224	12.710746795131078"
